Date,Actual Temperature,Predicted Temperature,Actual Humidity,Predicted Humidity
2025-02-23 00:00:00,30.5,31.347126,88.83,83.04025
2025-02-23 01:00:00,26.0,29.342155,94.23,87.99922
2025-02-23 02:00:00,26.0,26.448004,94.23,90.62738
2025-02-23 03:00:00,30.8,26.536959,88.84,90.614655
2025-02-23 04:00:00,26.0,30.501045,88.76,87.552666
2025-02-23 05:00:00,26.1,26.897856,88.79,87.35589
2025-02-23 06:00:00,26.0,26.726564,88.78,85.76919
2025-02-23 07:00:00,25.0,28.048553,100.0,84.901596
2025-02-23 08:00:00,30.3,29.509272,82.2,88.462585
2025-02-23 09:00:00,31.8,32.02581,78.91,75.42782
2025-02-23 10:00:00,33.2,34.509342,62.27,75.143036
2025-02-23 11:00:00,35.7,35.106155,71.07,61.728867
2025-02-23 12:00:00,35.2,36.297466,46.43,70.614845
2025-02-23 13:00:00,35.7,36.35626,41.25,50.90055
2025-02-23 14:00:00,37.1,35.538548,69.56,54.875683
2025-02-23 15:00:00,39.1,36.929268,59.26,67.964005
2025-02-23 16:00:00,39.1,38.57671,59.26,64.309364
2025-02-23 17:00:00,35.9,37.904945,72.83,67.02353
2025-02-23 18:00:00,34.4,34.933804,79.05,75.26346
2025-02-23 19:00:00,34.4,33.968163,79.05,77.11961
2025-02-23 20:00:00,34.5,34.52837,78.12,78.79962
2025-02-23 21:00:00,30.0,34.177418,83.67,78.33935
2025-02-23 22:00:00,30.0,30.05059,83.67,84.47276
2025-02-23 23:00:00,32.2,29.367302,78.47,84.49543
2025-02-24 00:00:00,30.5,31.744638,88.83,80.552345
2025-02-24 01:00:00,30.0,29.666748,83.67,89.80226
2025-02-24 02:00:00,30.2,29.140785,81.22,82.434456
2025-02-24 03:00:00,26.7,29.918575,88.81,81.13195
2025-02-24 04:00:00,25.0,26.08924,94.19,88.55541
2025-02-24 05:00:00,26.3,26.219206,87.75,90.47673
2025-02-24 06:00:00,25.0,26.66389,94.19,85.908394
2025-02-24 07:00:00,26.0,27.539608,88.75,89.19304
2025-02-24 08:00:00,31.8,28.552073,80.35,82.03994
2025-02-24 09:00:00,32.6,33.323345,70.1,73.00745
2025-02-24 10:00:00,33.6,34.069977,55.31,66.39851
2025-02-24 11:00:00,36.4,35.129276,65.54,55.39577
2025-02-24 12:00:00,34.5,36.47575,43.63,66.92694
2025-02-24 13:00:00,36.7,34.580296,66.39,49.65242
2025-02-24 14:00:00,36.1,36.947258,73.7,64.9158
2025-02-24 15:00:00,37.9,35.731316,70.44,73.91134
2025-02-24 16:00:00,32.5,36.628918,78.48,68.77235
2025-02-24 17:00:00,35.6,32.996307,73.66,78.48793
2025-02-24 18:00:00,34.0,34.754284,66.17,75.37789
2025-02-24 19:00:00,31.1,33.660114,74.29,70.433784
2025-02-24 20:00:00,34.2,31.732649,76.73,76.86065
2025-02-24 21:00:00,31.8,33.69373,78.91,78.242905
2025-02-24 22:00:00,29.5,31.536133,78.77,79.25462
2025-02-24 23:00:00,32.0,28.90954,74.39,79.081985
2025-02-25 00:00:00,31.3,31.299297,82.25,75.83053
2025-02-25 01:00:00,26.0,30.672379,88.75,82.64538
2025-02-25 02:00:00,26.0,26.42462,88.75,87.43544
2025-02-25 03:00:00,25.0,26.51479,88.68,88.47723
2025-02-25 04:00:00,25.0,26.413837,88.68,88.22518
2025-02-25 05:00:00,26.3,26.300543,83.64,88.02505
2025-02-25 06:00:00,24.0,26.851025,94.15,80.60741
2025-02-25 07:00:00,30.7,28.180878,88.84,88.50062
2025-02-25 08:00:00,31.5,31.773432,82.23,85.08765
2025-02-25 09:00:00,33.7,33.216278,74.46,78.79831
2025-02-25 10:00:00,36.7,34.692863,66.37,70.02474
2025-02-25 11:00:00,36.3,36.578312,62.53,65.09329
2025-02-25 12:00:00,35.7,36.233513,41.25,63.692074
2025-02-25 13:00:00,36.7,35.035904,66.29,51.797318
2025-02-25 14:00:00,37.5,36.217323,68.4,65.51642
2025-02-25 15:00:00,36.7,36.370728,66.37,68.52917
2025-02-25 16:00:00,36.7,35.518867,66.38,66.86838
2025-02-25 17:00:00,35.5,35.695034,70.28,67.82697
2025-02-25 18:00:00,34.7,34.998947,79.05,71.070045
2025-02-25 19:00:00,34.7,34.54082,79.08,76.07523
2025-02-25 20:00:00,34.3,34.525185,77.22,78.62925
2025-02-25 21:00:00,34.7,33.996902,79.08,78.02853
2025-02-25 22:00:00,34.7,34.31709,79.07,81.00408
2025-02-25 23:00:00,33.7,34.007393,83.84,78.84502
2025-02-26 00:00:00,32.8,33.103832,83.82,84.60224
2025-02-26 01:00:00,33.7,32.185642,88.94,84.2646
2025-02-26 02:00:00,30.9,32.97965,90.44,87.76541
2025-02-26 03:00:00,30.7,30.498098,88.86,89.719124
2025-02-26 04:00:00,30.7,30.224298,88.86,88.19169
2025-02-26 05:00:00,26.1,30.512384,90.93,87.77583
2025-02-26 06:00:00,26.0,27.502235,88.78,88.54609
2025-02-26 07:00:00,24.0,28.37442,94.15,84.03759
2025-02-26 08:00:00,32.1,29.505219,82.76,87.57163
2025-02-26 09:00:00,35.2,34.39394,70.27,76.354195
2025-02-26 10:00:00,35.2,36.566616,70.3,65.36241
2025-02-26 11:00:00,35.3,36.005512,54.81,70.24972
2025-02-26 12:00:00,37.1,35.75976,52.47,53.88526
2025-02-26 13:00:00,36.2,37.527874,30.55,52.636578
2025-02-26 14:00:00,36.0,35.72634,55.85,51.26163
2025-02-26 15:00:00,38.2,35.495956,49.64,62.059624
2025-02-26 16:00:00,36.0,37.185703,49.39,48.595654
2025-02-26 17:00:00,34.9,35.002098,63.1,54.956547
2025-02-26 18:00:00,33.2,34.804,62.27,75.53993
2025-02-26 19:00:00,32.6,33.59296,70.1,69.682434
2025-02-26 20:00:00,35.7,33.10643,71.18,72.75865
2025-02-26 21:00:00,31.8,35.03765,78.91,73.43675
2025-02-26 22:00:00,31.8,31.705528,78.91,79.62162
2025-02-26 23:00:00,33.5,31.570492,75.81,78.55738
2025-02-27 00:00:00,32.0,32.991413,78.45,80.800705
2025-02-27 01:00:00,26.0,31.362768,88.75,80.19944
2025-02-27 02:00:00,29.7,27.464844,83.66,87.1317
2025-02-27 03:00:00,30.2,29.139763,83.7,82.092834
2025-02-27 04:00:00,24.0,29.62213,94.15,84.96399
2025-02-27 05:00:00,26.3,26.380136,80.15,91.88774
2025-02-27 06:00:00,26.0,27.03894,73.96,75.80628
2025-02-27 07:00:00,26.5,28.692621,81.62,67.373245
2025-02-27 08:00:00,29.5,28.948557,59.97,79.16505
2025-02-27 09:00:00,29.3,31.28919,74.6,50.944176
2025-02-27 10:00:00,30.9,31.587206,40.43,72.128426
2025-02-27 11:00:00,31.8,32.8542,35.87,46.16496
2025-02-27 12:00:00,32.9,33.609177,28.12,49.31524
2025-02-27 13:00:00,31.7,34.404488,35.81,47.21863
2025-02-27 14:00:00,34.1,32.59683,48.49,44.10854
2025-02-27 15:00:00,34.3,34.65328,49.09,48.83291
2025-02-27 16:00:00,33.1,34.084373,51.98,50.75141
2025-02-27 17:00:00,33.7,32.989403,53.62,52.546432
2025-02-27 18:00:00,33.8,33.675938,55.33,56.00768
2025-02-27 19:00:00,30.7,33.482227,58.34,65.97229
2025-02-27 20:00:00,30.7,31.892204,58.34,69.540054
2025-02-27 21:00:00,29.1,31.125584,74.13,70.33577
2025-02-27 22:00:00,29.1,29.992785,74.13,74.2507
2025-02-27 23:00:00,32.3,29.467857,67.24,75.64638
2025-02-28 00:00:00,26.0,31.62516,83.56,72.188576
2025-02-28 01:00:00,26.0,27.50139,83.56,78.74128
2025-02-28 02:00:00,25.0,27.388163,83.45,80.60797
2025-02-28 03:00:00,24.0,26.577745,88.6,81.43482
2025-02-28 04:00:00,30.7,26.11432,76.07,85.53361
2025-02-28 05:00:00,26.1,30.679802,78.71,68.74086
2025-02-28 06:00:00,26.0,26.478106,78.68,74.43377
2025-02-28 07:00:00,29.7,26.564861,78.82,76.317795
2025-02-28 08:00:00,30.7,29.544928,69.91,77.0912
2025-02-28 09:00:00,32.5,31.432531,48.86,61.04611
2025-02-28 10:00:00,33.0,33.042675,43.36,45.441338
2025-02-28 11:00:00,34.8,32.998085,43.9,47.31642
2025-02-28 12:00:00,34.5,34.57492,36.38,45.949116
2025-02-28 13:00:00,36.7,33.951458,32.56,46.980568
2025-02-28 14:00:00,39.6,35.953762,59.21,47.34084
2025-02-28 15:00:00,39.2,38.8402,34.95,57.11226
2025-02-28 16:00:00,34.3,37.820423,49.1,44.917885
2025-02-28 17:00:00,33.3,33.471992,52.0,50.50705
2025-02-28 18:00:00,32.0,33.320286,55.09,59.11787
2025-02-28 19:00:00,32.5,31.578316,58.57,55.19535
2025-02-28 20:00:00,33.4,31.777504,59.41,66.90204
2025-02-28 21:00:00,29.5,32.668312,78.77,63.53164
2025-02-28 22:00:00,33.4,29.271273,62.34,73.536026
2025-02-28 23:00:00,32.1,32.769783,66.0,68.19899
2025-03-01 00:00:00,32.8,31.512726,70.12,69.91371
2025-03-01 01:00:00,31.4,31.249416,74.32,72.473274
2025-03-01 02:00:00,32.5,30.787893,73.12,74.95811
2025-03-01 03:00:00,25.0,31.910593,83.45,74.113846
2025-03-01 04:00:00,26.0,26.142887,83.59,81.758316
2025-03-01 05:00:00,26.4,26.405611,86.16,79.60226
2025-03-01 06:00:00,26.0,26.991829,69.61,83.60037
2025-03-01 07:00:00,24.0,27.868073,83.33,63.1218
2025-03-01 08:00:00,29.3,28.93899,54.04,79.89296
2025-03-01 09:00:00,32.0,31.04016,55.07,47.4026
2025-03-01 10:00:00,33.0,33.747963,43.39,52.41615
2025-03-01 11:00:00,34.9,35.038624,42.38,47.98908
2025-03-01 12:00:00,35.1,35.915688,32.29,49.902016
2025-03-01 13:00:00,34.7,35.734066,43.62,43.900444
2025-03-01 14:00:00,34.8,34.63531,41.83,46.381348
2025-03-01 15:00:00,36.8,34.110123,39.02,46.134212
2025-03-01 16:00:00,35.7,35.661953,41.25,44.933968
2025-03-01 17:00:00,34.6,34.881252,52.15,46.766357
2025-03-01 18:00:00,34.4,34.257626,58.8,50.988365
2025-03-01 19:00:00,33.2,33.692936,62.27,59.41093
2025-03-01 20:00:00,34.3,33.28492,73.64,64.78982
2025-03-01 21:00:00,30.0,33.76293,83.67,73.380745
2025-03-01 22:00:00,30.0,30.551222,83.67,79.31688
2025-03-01 23:00:00,26.0,29.831646,88.75,81.472115
2025-03-02 00:00:00,26.0,28.262484,88.75,85.48577
2025-03-02 01:00:00,26.0,27.728533,83.56,87.06834
2025-03-02 02:00:00,32.5,27.024244,85.28,80.8345
2025-03-02 03:00:00,30.2,31.654161,83.68,83.1771
2025-03-02 04:00:00,24.0,29.79353,94.15,79.97938
2025-03-02 05:00:00,26.1,26.152359,87.19,86.7675
2025-03-02 06:00:00,29.7,26.369007,83.66,81.8683
2025-03-02 07:00:00,24.0,29.269697,83.33,77.41794
2025-03-02 08:00:00,33.1,28.479525,71.36,74.11806
2025-03-02 09:00:00,33.1,33.884476,52.02,62.519375
2025-03-02 10:00:00,33.9,34.16229,40.98,49.86741
2025-03-02 11:00:00,39.3,34.92687,56.84,47.61676
2025-03-02 12:00:00,35.0,38.770485,38.75,59.048126
2025-03-02 13:00:00,36.6,34.859257,43.89,50.711338
2025-03-02 14:00:00,36.2,36.05117,45.15,51.81486
2025-03-02 15:00:00,34.7,35.358505,43.63,50.99436
2025-03-02 16:00:00,36.2,33.855534,49.37,46.90132
2025-03-02 17:00:00,34.5,35.49963,43.63,43.380863
2025-03-02 18:00:00,33.6,34.6536,55.31,52.00427
2025-03-02 19:00:00,34.0,33.46564,66.17,62.558056
2025-03-02 20:00:00,34.0,33.695576,66.17,71.330315
2025-03-02 21:00:00,33.5,33.281693,74.46,69.23988
2025-03-02 22:00:00,33.5,33.0458,74.46,73.93303
2025-03-02 23:00:00,34.7,33.016396,72.41,78.39588
2025-03-03 00:00:00,30.0,33.878765,83.67,74.68812
2025-03-03 01:00:00,30.0,29.44603,83.67,83.53679
2025-03-03 02:00:00,33.3,29.285389,77.62,83.498795
2025-03-03 03:00:00,30.0,32.587193,83.67,76.84214
2025-03-03 04:00:00,30.0,29.931725,83.67,82.970055
2025-03-03 05:00:00,32.0,29.517984,74.39,80.57348
2025-03-03 06:00:00,31.7,32.293434,73.9,68.339066
2025-03-03 07:00:00,32.0,32.060238,78.93,71.73624
2025-03-03 08:00:00,35.2,32.69333,70.3,76.66841
2025-03-03 09:00:00,31.4,35.989964,69.99,63.730957
2025-03-03 10:00:00,36.9,31.868984,59.04,66.823135
2025-03-03 11:00:00,36.3,36.783752,49.72,52.722733
2025-03-03 12:00:00,37.2,36.441612,46.69,47.667603
2025-03-03 13:00:00,38.2,36.227295,49.64,47.748188
2025-03-03 14:00:00,38.1,37.583305,53.56,49.074093
2025-03-03 15:00:00,38.2,36.94395,55.79,54.32324
2025-03-03 16:00:00,40.5,37.26107,49.9,56.356674
2025-03-03 17:00:00,36.1,39.22349,61.78,50.277397
2025-03-03 18:00:00,37.8,35.327938,62.7,65.865074
2025-03-03 19:00:00,35.6,36.913124,62.51,65.5277
2025-03-03 20:00:00,35.7,35.534794,71.18,67.71541
2025-03-03 21:00:00,37.6,35.756367,79.2,73.92981
2025-03-03 22:00:00,36.3,36.269413,74.65,78.23762
2025-03-03 23:00:00,34.6,36.02435,77.7,75.93189
2025-03-04 00:00:00,32.8,34.11161,83.79,78.36738
2025-03-04 01:00:00,32.8,32.508053,83.81,83.54507
2025-03-04 02:00:00,32.8,32.280083,83.81,83.07617
2025-03-04 03:00:00,30.5,32.470837,88.83,83.64454
2025-03-04 04:00:00,32.8,29.943954,83.81,87.61545
2025-03-04 05:00:00,33.1,32.433132,88.92,81.65952
2025-03-04 06:00:00,26.0,33.40898,94.23,85.27747
2025-03-04 07:00:00,26.0,28.254576,94.23,88.19092
2025-03-04 08:00:00,37.3,29.254333,80.59,87.18887
2025-03-04 09:00:00,36.4,38.63831,66.37,72.89512
2025-03-04 10:00:00,35.7,36.88406,55.55,61.645092
